# Nmax = 5
# L1 L2 L3   u11 u12 u13   u21 u22 u23   u31 u32 u33   (periodicity)
2.4495 4.2230 0.0967   2 1 1   1 5 0   0 1 0   (1)
3.7417 4.2258 0.0632   3 2 1   0 3 4   2 0 -1   (1)
3.1623 4.2308 0.0747   3 1 0   1 -4 1   1 0 0   (1)
3.6056 4.2336 0.0655   3 2 0   -1 1 4   1 1 1   (1)
3.7417 4.2342 0.0631   3 2 1   1 1 -4   0 0 1   (1)
4.2426 0.7071 0.3333   4 1 1   2 0 1   1 0 0   (1)
4.2426 0.7817 0.3015   4 1 1   1 1 0   0 1 0   (1)
4.2426 0.9718 0.2425   4 1 1   0 0 1   1 0 0   (1)
4.2426 1.2247 0.1925   4 1 1   1 -1 0   1 0 0   (1)
4.2426 1.4530 0.1622   4 1 1   1 1 -1   1 0 1   (1)
4.2426 1.5092 0.1562   4 1 1   2 -1 0   1 0 0   (1)
4.2426 1.7321 0.1361   4 1 1   1 2 0   0 1 0   (1)
4.2426 1.8105 0.1302   4 1 1   1 1 2   1 0 0   (1)
4.2426 2.1213 0.1111   4 1 1   0 1 2   1 0 0   (1)
4.2426 2.1473 0.1098   4 1 1   1 2 -1   2 0 1   (1)
4.2426 2.1858 0.1078   4 1 1   1 -2 0   0 1 0   (1)
4.2426 2.2236 0.1060   4 1 1   0 2 -1   1 1 0   (1)
4.2426 2.4381 0.0967   4 1 1   -1 1 2   1 0 0   (1)
4.2426 2.5055 0.0941   4 1 1   2 0 3   1 0 1   (1)
4.2426 2.6977 0.0874   4 1 1   1 3 0   0 1 0   (1)
4.2426 2.7285 0.0864   4 1 1   1 3 1   1 -1 0   (1)
4.2426 2.7588 0.0854   4 1 1   -2 1 2   1 0 0   (1)
4.2426 2.8480 0.0828   4 1 1   1 2 -2   2 1 0   (1)
4.2426 3.0000 0.0786   4 1 1   1 3 -1   1 1 0   (1)
4.2426 3.0822 0.0765   4 1 1   1 2 3   1 0 0   (1)
4.2426 3.1535 0.0747   4 1 1   1 -3 0   0 1 0   (1)
4.2426 3.2830 0.0718   4 1 1   1 -3 1   1 1 0   (1)
4.2426 3.3166 0.0711   1 1 -4   3 1 1   1 0 2   (12)
4.2426 3.4075 0.0692   4 1 1   0 2 3   1 0 0   (1)
4.2426 3.5512 0.0664   4 1 1   1 3 -2   2 0 1   (1)
4.2426 3.5978 0.0655   4 1 -1   0 2 3   1 1 1   (1)
4.2426 3.6667 0.0643   4 1 1   1 4 0   0 1 0   (1)
4.2426 3.6742 0.0642   4 1 -1   1 2 3   0 1 2   (1)
4.2426 3.7342 0.0631   4 1 1   -1 2 3   1 0 0   (1)
4.2426 3.7786 0.0624   4 1 1   2 4 -1   1 1 0   (1)
4.2426 3.9299 0.0600   4 1 1   1 4 2   0 2 1   (1)
4.2426 3.9511 0.0597   4 1 1   0 4 1   1 -1 0   (1)
4.2426 4.0620 0.0580   4 1 1   0 -1 4   1 0 1   (1)
4.2426 4.1231 0.0572   4 1 1   1 -4 0   0 1 0   (12)
4.2426 4.2361 0.0556   4 1 1   1 1 -4   1 0 2   (1)
4.2426 4.2557 0.0554   4 1 1   1 3 -3   2 1 0   (1)
3.6056 4.2787 0.0648   3 0 2   0 1 5   1 0 1   (1)
2.4495 4.2817 0.0953   2 1 1   1 4 -2   1 0 1   (1)
4.1231 4.2977 0.0564   3 2 2   1 -3 3   1 0 1   (1)
3.1623 4.3012 0.0735   3 1 0   1 2 4   -1 0 1   (1)
3.7417 4.3260 0.0618   3 1 2   0 2 5   1 0 0   (1)
3.3166 4.3275 0.0697   3 1 1   1 4 -2   1 1 0   (1)
2.2361 4.3359 0.1031   2 1 0   1 4 3   0 1 1   (1)
4.1231 4.3454 0.0558   4 1 0   1 2 4   2 0 -1   (1)
3.0000 4.3461 0.0767   2 2 1   5 -1 0   1 0 0   (1)
4.1231 4.3521 0.0557   4 1 0   -1 3 3   0 1 1   (1)
4.3589 0.3244 0.7071   3 3 1   1 1 0   0 1 0   (1)
4.3589 0.7255 0.3162   3 3 1   1 0 0   0 1 0   (1)
4.3589 0.8584 0.2673   3 3 1   1 2 0   0 1 0   (1)
4.3589 1.0761 0.2132   3 3 1   1 0 1   1 1 0   (1)
4.3589 1.3377 0.1715   3 3 1   1 0 -1   1 1 0   (1)
4.3589 1.4142 0.1622   3 3 1   1 -1 0   1 0 0   (12)
4.3589 1.5560 0.1474   3 3 1   0 2 1   1 0 0   (1)
4.3589 1.6222 0.1414   3 3 1   2 1 2   1 1 0   (1)
4.3589 1.9194 0.1195   3 3 1   1 0 2   1 1 0   (1)
4.3589 2.1275 0.1078   3 3 1   2 -1 0   1 0 0   (1)
4.3589 2.2243 0.1031   3 3 1   1 0 -2   1 1 0   (1)
4.3589 2.2711 0.1010   3 3 1   1 4 0   0 1 0   (1)
4.3589 2.4061 0.0953   3 3 1   1 -1 2   1 0 1   (1)
4.3589 2.5340 0.0905   3 3 1   2 1 3   1 1 0   (1)
4.3589 2.7720 0.0828   3 3 1   -1 2 2   2 1 0   (1)
4.3589 2.8470 0.0806   3 3 1   4 0 1   0 1 0   (1)
4.3589 2.9558 0.0776   3 3 1   2 0 3   0 -1 1   (1)
4.3589 2.9912 0.0767   3 3 1   1 5 0   0 1 0   (1)
4.3589 3.1623 0.0725   3 3 1   1 0 -3   1 1 0   (12)
4.3589 3.2606 0.0704   3 3 1   4 0 -1   2 1 0   (1)
4.3589 3.4793 0.0659   3 3 1   2 1 4   1 1 0   (1)
4.3589 3.5393 0.0648   3 1 -3   2 0 3   1 0 1   (1)
4.3589 3.5689 0.0643   3 3 1   4 -1 0   1 0 0   (1)
